query_name	query_type	submitted_genes	recognised_genes	background_name	background_size	source_databases	correction_method	significant_terms	status	skipped_reason
ranked_marker_source_panel__contrast_brca_anchor_efm_192c_vs_outside_component_0_down	per_contrast	165	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_efm_192c_vs_outside_component_0__eligible_deseq2_background	17359	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_hcc_1143_vs_outside_component_1_all	per_contrast	200	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_hcc_1143_vs_outside_component_1__eligible_deseq2_background	17109	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_hcc_1143_vs_outside_component_1_up	per_contrast	61	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_hcc_1143_vs_outside_component_1__eligible_deseq2_background	17109	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_hcc_1143_vs_outside_component_1_down	per_contrast	139	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_hcc_1143_vs_outside_component_1__eligible_deseq2_background	17109	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_mda_mb_231_vs_outside_component_1_all	per_contrast	200	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_mda_mb_231_vs_outside_component_1__eligible_deseq2_background	16268	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_mda_mb_231_vs_outside_component_1_up	per_contrast	57	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_mda_mb_231_vs_outside_component_1__eligible_deseq2_background	16268	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_mda_mb_231_vs_outside_component_1_down	per_contrast	143	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_mda_mb_231_vs_outside_component_1__eligible_deseq2_background	16268	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_mda_mb_468_vs_outside_component_2_all	per_contrast	45	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_mda_mb_468_vs_outside_component_2__eligible_deseq2_background	17485	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_mda_mb_468_vs_outside_component_2_up	per_contrast	14	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_mda_mb_468_vs_outside_component_2__eligible_deseq2_background	17485	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_brca_anchor_mda_mb_468_vs_outside_component_2_down	per_contrast	31	NOT_AVAILABLE	ranked_marker_source_panel__brca__anchor_mda_mb_468_vs_outside_component_2__eligible_deseq2_background	17485	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
ranked_marker_source_panel__contrast_nbl_isolate_lan6_vs_rest_all	per_contrast	50	NOT_AVAILABLE	ranked_marker_source_panel__nbl__isolate_lan6_vs_rest__eligible_deseq2_background	17397	NOT_EXECUTED	g:SCS	NOT_AVAILABLE	PREPARED_API_TIMEOUT	NA
