tumour	tumour_cancer_type	tumour_cohort	first_matching_cell_line_group_rank_at10	reciprocal_rank_at10	top_ranked_cell_line_group	top_ranked_cell_line_group_cancer_type	rank1_correct	n_ranked_biological_cell_line_groups	n_displayed_top10_biological_cell_line_groups
TCGA-A8-A097-01A-11R-A034-07	BRCA	BRCA	1	1	HS_578T_B	BRCA	TRUE	56	10
TCGA-A8-A099-01A-11R-A00Z-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A8-A09A-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A8-A09B-01A-11R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A8-A09C-01A-11R-A00Z-07	BRCA	BRCA	1	1	T_47D	BRCA	TRUE	56	10
TCGA-A8-A09E-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A8-A09G-01A-21R-A00Z-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-A8-A09I-01A-22R-A034-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A8-A09K-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_19	BRCA	TRUE	56	10
TCGA-A8-A09M-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-A8-A09N-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192C	BRCA	TRUE	56	10
TCGA-A8-A09R-01A-11R-A00Z-07	BRCA	BRCA	1	1	CAL_148	BRCA	TRUE	56	10
TCGA-A8-A09T-01A-11R-A00Z-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-A8-A09V-01A-11R-A034-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A8-A09W-01A-11R-A00Z-07	BRCA	BRCA	1	1	EFM_192B	BRCA	TRUE	56	10
TCGA-A8-A09Z-01A-11R-A00Z-07	BRCA	BRCA	1	1	KPL_1	BRCA	TRUE	56	10
TCGA-A8-A0A2-01A-11R-A034-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-A8-A0A4-01A-11R-A00Z-07	BRCA	BRCA	1	1	EVSA_T	BRCA	TRUE	56	10
TCGA-A8-A0A9-01A-11R-A00Z-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
TCGA-A8-A0AB-01A-11R-A034-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-A8-A0AD-01A-11R-A056-07	BRCA	BRCA	1	1	CAL_85_1	BRCA	TRUE	56	10
TCGA-AC-A23C-01A-12R-A169-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-AC-A23H-01A-11R-A157-07	BRCA	BRCA	1	1	EFM_192A	BRCA	TRUE	56	10
TCGA-AC-A2BK-01A-11R-A21T-07	BRCA	BRCA	1	1	CAL_51	BRCA	TRUE	56	10
TCGA-AC-A2BM-01A-11R-A21T-07	BRCA	BRCA	1	1	MFM_223	BRCA	TRUE	56	10
TCGA-AC-A2FG-01A-11R-A17B-07	BRCA	BRCA	1	1	HCC_1937	BRCA	TRUE	56	10
TCGA-AC-A2FK-01A-12R-A180-07	BRCA	BRCA	1	1	ETCC_007	BRCA	TRUE	56	10
TCGA-AC-A2FM-01A-11R-A19W-07	BRCA	BRCA	1	1	BT_474	BRCA	TRUE	56	10
TCGA-AC-A2QH-01A-11R-A18M-07	BRCA	BRCA	10	0.1	LS	NBL	FALSE	56	10
TCGA-AC-A2QH-01B-04R-A22O-07	BRCA	BRCA	NA	0	LS	NBL	FALSE	56	10
TCGA-AC-A2QI-01A-12R-A19W-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-AC-A3EH-01A-22R-A22K-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-AC-A3QQ-01B-06R-A22O-07	BRCA	BRCA	NA	0	RBL_14	RBL	FALSE	56	10
TCGA-AC-A3TM-01A-11R-A22K-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AC-A3TN-01A-11R-A22K-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AC-A3W7-01A-11R-A22K-07	BRCA	BRCA	1	1	SK_BR_3	BRCA	TRUE	56	10
TCGA-AC-A3YI-01A-21R-A239-07	BRCA	BRCA	1	1	HDQ_P1	BRCA	TRUE	56	10
TCGA-AC-A3YJ-01A-11R-A22U-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AC-A4ZE-01A-11R-A41B-07	BRCA	BRCA	1	1	MDA_MB_453	BRCA	TRUE	56	10
TCGA-AC-A5EH-01A-11R-A28M-07	BRCA	BRCA	1	1	JIMT_1_B	BRCA	TRUE	56	10
TCGA-AC-A5XU-01A-11R-A28M-07	BRCA	BRCA	1	1	MCF_7	BRCA	TRUE	56	10
