cell_line_group_id	cell_line_lineage	tumour_sample_id	tumour_lineage	similarity_score	rank	consensus_component_id	consensus_component_label	same_lineage_indicator
CAL_148	breast cancer	TCGA-C8-A1HK-01A-21R-A13Q-07	breast cancer	0.449625097258796	27	3	Component 3 - breast cancer dominant (n = 24, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-BH-A1FJ-01A-11R-A13Q-07	breast cancer	0.44669099985361	28	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-E2-A15G-01A-11R-A12D-07	breast cancer	0.446015996735389	29	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-D8-A3Z6-01A-11R-A239-07	breast cancer	0.444509468036751	30	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-E9-A1RC-01A-11R-A157-07	breast cancer	0.442618620792542	31	4	Component 4 - breast cancer dominant (n = 47, purity = 1.00)	TRUE
CAL_148	breast cancer	TCGA-BH-A6R8-01A-21R-A33J-07	breast cancer	0.441416751886393	32	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A08T-01A-21R-A00Z-07	breast cancer	0.440983520071385	33	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A09B-01A-11R-A00Z-07	breast cancer	0.438712546847557	34	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-E9-A22H-01A-11R-A157-07	breast cancer	0.438011689572634	35	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A09I-01A-22R-A034-07	breast cancer	0.436844059955091	36	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-E2-A15J-01A-11R-A12P-07	breast cancer	0.436725969347452	37	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-AN-A0XO-01A-11R-A109-07	breast cancer	0.436694525102814	38	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-E2-A154-01A-11R-A115-07	breast cancer	0.436593903519974	39	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
CAL_148	breast cancer	TCGA-A8-A06U-01A-11R-A00Z-07	breast cancer	0.435983885174004	40	1	Component 1 - breast cancer dominant (n = 923, purity = 0.69)	TRUE
